"Data","Ultimo","Apertura","Massimo","Minimo","Var. %"
"02.04.2021","3,204","3,223","3,260","3,189","0,00%"
"01.04.2021","3,204","3,227","3,227","3,199","0,09%"
"31.03.2021","3,201","3,243","3,243","3,196","-0,03%"
"30.03.2021","3,202","3,227","3,227","3,197","-0,22%"
"29.03.2021","3,209","3,260","3,260","3,200","0,16%"
"26.03.2021","3,204","3,220","3,220","3,199","0,16%"
"25.03.2021","3,199","3,229","3,229","3,198","-0,47%"
"24.03.2021","3,214","3,243","3,243","3,212","-0,68%"
"23.03.2021","3,236","3,257","3,257","3,233","-0,03%"
"22.03.2021","3,237","3,360","3,360","3,230","-0,43%"
"19.03.2021","3,251","3,277","3,277","3,248","-0,37%"
"18.03.2021","3,263","3,297","3,297","3,263","-0,09%"
"17.03.2021","3,266","3,287","3,287","3,264","0,03%"
"16.03.2021","3,265","3,290","3,290","3,264","-0,24%"
"15.03.2021","3,273","3,295","3,295","3,268","0,28%"
"12.03.2021","3,264","3,260","3,264","3,248","0,46%"
"11.03.2021","3,249","3,290","3,290","3,243","-0,12%"
"10.03.2021","3,253","3,278","3,278","3,249","-0,12%"
"09.03.2021","3,257","3,280","3,280","3,248","0,06%"
"08.03.2021","3,255","3,310","3,310","3,248","-0,46%"
"05.03.2021","3,270","3,350","3,350","3,245","-0,03%"
"04.03.2021","3,271","3,262","3,283","3,262","0,15%"
"03.03.2021","3,266","3,277","3,277","3,257","0,25%"
"02.03.2021","3,258","3,276","3,276","3,245","0,00%"
"01.03.2021","3,258","3,325","3,325","3,252","-0,94%"
"26.02.2021","3,289","3,385","3,385","3,275","-0,06%"
"25.02.2021","3,291","3,293","3,293","3,276","0,83%"
"24.02.2021","3,264","3,294","3,294","3,251","-0,12%"
"23.02.2021","3,268","3,380","3,380","3,263","-0,21%"
"22.02.2021","3,275","3,300","3,300","3,273","-0,71%"
"20.02.2021","3,299","3,289","3,299","3,283","0,93%"
"19.02.2021","3,268","3,340","3,340","3,266","-1,27%"
"18.02.2021","3,310","3,355","3,355","3,283","1,44%"
"10.02.2021","3,263","3,287","3,287","3,244","0,09%"
"09.02.2021","3,260","3,271","3,271","3,242","0,34%"
"08.02.2021","3,249","3,293","3,293","3,235","0,32%"
"07.02.2021","3,239","3,245","3,266","3,219","-0,20%"
"05.02.2021","3,245","3,270","3,310","3,235","0,28%"
"04.02.2021","3,236","3,225","3,245","3,192","0,65%"
"03.02.2021","3,215","3,225","3,237","3,192","0,41%"
"02.02.2021","3,202","3,217","3,217","3,193","0,53%"
"01.02.2021","3,185","3,250","3,250","3,177","-1,30%"
"29.01.2021","3,227","3,220","3,229","3,188","0,66%"
"28.01.2021","3,206","3,194","3,206","3,179","1,07%"
"27.01.2021","3,172","3,187","3,187","3,164","-0,16%"
"26.01.2021","3,177","3,175","3,177","3,139","1,28%"
"25.01.2021","3,137","3,200","3,200","3,123","-0,57%"
"22.01.2021","3,155","3,162","3,170","3,152","0,25%"
"21.01.2021","3,147","3,193","3,193","3,140","-1,13%"
"20.01.2021","3,183","3,190","3,190","3,169","0,22%"
"19.01.2021","3,176","3,187","3,188","3,171","0,03%"
"18.01.2021","3,175","3,210","3,210","3,158","0,70%"
"15.01.2021","3,153","3,137","3,153","3,129","0,41%"
"14.01.2021","3,140","3,172","3,172","3,133","0,22%"
"13.01.2021","3,133","3,184","3,184","3,130","-1,04%"
"12.01.2021","3,166","3,190","3,190","3,150","-0,22%"
"11.01.2021","3,173","3,245","3,245","3,161","-0,84%"
"08.01.2021","3,200","3,200","3,200","3,186","0,44%"
"07.01.2021","3,186","3,224","3,224","3,170","0,03%"
"06.01.2021","3,185","3,226","3,226","3,175","-0,56%"
"05.01.2021","3,203","3,244","3,244","3,195","-0,47%"
"04.01.2021","3,218","3,278","3,278","3,195","0,47%"
"31.12.2020","3,203","3,192","3,207","3,174","0,34%"
"30.12.2020","3,192","3,230","3,230","3,185","-0,41%"
"29.12.2020","3,205","3,231","3,231","3,198","-0,25%"
"28.12.2020","3,213","3,290","3,290","3,199","-0,83%"
"25.12.2020","3,240","3,280","3,283","3,233","-0,58%"
"24.12.2020","3,259","3,274","3,280","3,242","0,46%"
"23.12.2020","3,244","3,282","3,282","3,244","-0,76%"
"22.12.2020","3,269","3,308","3,308","3,249","-0,82%"
"21.12.2020","3,296","3,396","3,396","3,290","-0,30%"
"18.12.2020","3,306","3,337","3,337","3,293","0,09%"
"17.12.2020","3,303","3,316","3,316","3,295","0,00%"
"16.12.2020","3,303","3,359","3,359","3,286","0,15%"
"15.12.2020","3,298","3,325","3,325","3,294","-0,36%"
"14.12.2020","3,310","3,401","3,401","3,309","0,09%"
"11.12.2020","3,307","3,350","3,350","3,293","0,61%"
"10.12.2020","3,287","3,350","3,350","3,273","-0,42%"
"09.12.2020","3,301","3,341","3,341","3,285","0,33%"
"08.12.2020","3,290","3,349","3,349","3,280","-0,39%"
"07.12.2020","3,303","3,350","3,350","3,298","0,06%"
"04.12.2020","3,301","3,359","3,359","3,290","-0,51%"
"03.12.2020","3,318","3,359","3,359","3,308","0,12%"
"02.12.2020","3,314","3,360","3,360","3,305","0,45%"
"01.12.2020","3,299","3,369","3,369","3,280","0,58%"
"30.11.2020","3,280","3,400","3,400","3,268","-1,00%"
"27.11.2020","3,313","3,375","3,375","3,291","0,18%"
"26.11.2020","3,307","3,352","3,352","3,298","0,00%"
"25.11.2020","3,307","3,399","3,399","3,286","-0,24%"
"24.11.2020","3,315","3,328","3,330","3,288","0,79%"
"23.11.2020","3,289","3,310","3,345","3,286","-1,29%"
"20.11.2020","3,332","3,345","3,362","3,328","-0,09%"
"19.11.2020","3,335","3,418","3,418","3,313","0,51%"
"18.11.2020","3,318","3,320","3,320","3,288","0,97%"
"17.11.2020","3,286","3,329","3,329","3,276","0,03%"
"16.11.2020","3,285","3,300","3,300","3,255","0,40%"
"13.11.2020","3,272","3,302","3,302","3,253","0,43%"
"12.11.2020","3,258","3,295","3,295","3,240","0,52%"
"11.11.2020","3,241","3,245","3,255","3,227","-0,06%"
"10.11.2020","3,243","3,330","3,330","3,228","0,00%"
"09.11.2020","3,243","3,320","3,320","3,216","1,00%"
"06.11.2020","3,211","3,220","3,220","3,190","0,69%"
"05.11.2020","3,189","3,250","3,250","3,174","0,41%"
"04.11.2020","3,176","3,220","3,220","3,166","-0,28%"
"03.11.2020","3,185","3,236","3,236","3,177","-0,22%"
"02.11.2020","3,192","3,190","3,235","3,177","0,00%"
"30.10.2020","3,192","3,225","3,225","3,184","0,19%"
"29.10.2020","3,186","3,275","3,275","3,164","0,19%"
"28.10.2020","3,180","3,230","3,230","3,173","0,00%"
"27.10.2020","3,180","3,249","3,249","3,175","-0,78%"
"26.10.2020","3,205","3,290","3,290","3,189","0,00%"
"23.10.2020","3,205","3,248","3,248","3,188","1,10%"
"22.10.2020","3,170","3,250","3,250","3,161","-1,06%"
"21.10.2020","3,204","3,245","3,245","3,196","0,03%"
"20.10.2020","3,203","3,250","3,250","3,195","-0,25%"
"19.10.2020","3,211","3,300","3,300","3,198","-0,59%"
"16.10.2020","3,230","3,240","3,242","3,224","-0,09%"
"15.10.2020","3,233","3,275","3,275","3,226","0,50%"
"14.10.2020","3,217","3,225","3,225","3,203","0,37%"
"13.10.2020","3,205","3,246","3,246","3,197","-0,62%"
"12.10.2020","3,225","3,240","3,242","3,210","0,86%"
"11.10.2020","3,197","3,197","3,197","3,197","-0,16%"
"10.10.2020","3,203","3,206","3,211","3,191","0,08%"
"09.10.2020","3,200","3,294","3,294","3,199","1,43%"
"30.09.2020","3,155","3,163","3,163","3,138","0,48%"
"29.09.2020","3,140","3,178","3,178","3,127","0,32%"
"28.09.2020","3,130","3,200","3,200","3,127","-0,82%"
"27.09.2020","3,156","3,151","3,156","3,109","1,02%"
"25.09.2020","3,124","3,110","3,127","3,106","1,07%"
"24.09.2020","3,091","3,128","3,128","3,091","-0,90%"
"23.09.2020","3,119","3,137","3,137","3,103","0,65%"
"22.09.2020","3,099","3,130","3,130","3,096","-0,35%"
"21.09.2020","3,110","3,185","3,185","3,098","-0,64%"
"18.09.2020","3,130","3,159","3,159","3,128","-0,35%"
"17.09.2020","3,141","3,155","3,155","3,134","-0,19%"
"16.09.2020","3,147","3,148","3,148","3,121","0,38%"
"15.09.2020","3,135","3,173","3,173","3,121","-1,20%"
"14.09.2020","3,173","3,250","3,250","3,165","1,05%"
"11.09.2020","3,140","3,113","3,143","3,104","1,09%"
