Date;Price;Open;High;Low;Change %
Mar 31, 2021;-292;-281;-267;-302;
Mar 30, 2021;-277;-294;-258;-302;-13,44
Mar 29, 2021;-320;-353;-315;-370;-8,31
Mar 26, 2021;-349;-382;-337;-385;-9,35
Mar 25, 2021;-385;-352;-352;-390;8,15
Mar 24, 2021;-356;-358;-339;-375;4,09
Mar 23, 2021;-342;-319;-311;-357;10,32
Mar 22, 2021;-310;-294;-294;-333;5,44
Mar 19, 2021;-294;-287;-278;-310;10,94
Mar 18, 2021;-265;-297;-249;-302;-9,56
Mar 17, 2021;-293;-331;-285;-339;-13,57
Mar 16, 2021;-339;-342;-328;-351;0,59
Mar 15, 2021;-337;-306;-300;-346;14,24
Mar 12, 2021;-295;-318;-291;-324;-10,88
Mar 11, 2021;-331;-315;-308;-367;6,43
Mar 10, 2021;-311;-300;-291;-322;2,64
Mar 09, 2021;-303;-277;-277;-334;8,21
Mar 08, 2021;-280;-301;-273;-302;-7,89
Mar 05, 2021;-304;-312;-273;-313;-2,25
Mar 04, 2021;-311;-293;-286;-330;4,71
Mar 03, 2021;-297;-355;-280;-361;-14,66
Mar 02, 2021;-348;-335;-306;-352;4,5
Mar 01, 2021;-333;-296;-279;-346;29,57
Feb 26, 2021;-257;-221;-203;-287;13,22
Feb 25, 2021;-227;-295;-214;-304;-25,33
Feb 24, 2021;-304;-328;-274;-334;-4,7
Feb 23, 2021;-319;-337;-287;-339;-7,8
Feb 22, 2021;-346;-284;-278;-362;10,54
Feb 19, 2021;-313;-322;-306;-338;-8,48
Feb 18, 2021;-342;-366;-323;-372;-5,79
Feb 17, 2021;-363;-342;-329;-373;4,01
Feb 16, 2021;-349;-388;-346;-398;-9,11
Feb 15, 2021;-384;-396;-376;-402;-10,7
Feb 12, 2021;-430;-457;-421;-467;-6,11
Feb 11, 2021;-458;-435;-435;-474;4,57
Feb 10, 2021;-438;-442;-427;-459;-2,23
Feb 09, 2021;-448;-439;-428;-458;1,13
Feb 08, 2021;-443;-427;-412;-446;0
Feb 05, 2021;-443;-460;-413;-468;-2,85
Feb 04, 2021;-456;-463;-442;-474;-2,36
Feb 03, 2021;-467;-475;-462;-486;-4,3
Feb 02, 2021;-488;-507;-477;-516;-4,87
Feb 01, 2021;-513;-519;-498;-527;-1,35
Jan 29, 2021;-520;-536;-492;-540;-4,06
Jan 28, 2021;-542;-551;-534;-560;-1,28
Jan 27, 2021;-549;-530;-523;-567;3,39
Jan 26, 2021;-531;-556;-525;-561;-3,45
Jan 25, 2021;-550;-512;-508;-555;7,21
Jan 22, 2021;-513;-492;-486;-520;3,01
Jan 21, 2021;-498;-533;-486;-537;-5,86
Jan 20, 2021;-529;-522;-517;-533;0,38
Jan 19, 2021;-527;-519;-508;-529;0,38
Jan 18, 2021;-525;-545;-515;-552;-3,14
Jan 15, 2021;-542;-554;-529;-560;-1,09
Jan 14, 2021;-548;-525;-521;-562;4,58
Jan 13, 2021;-524;-485;-481;-527;11,73
Jan 12, 2021;-469;-488;-459;-496;-4,48
Jan 11, 2021;-491;-526;-490;-535;-5,03
Jan 08, 2021;-517;-512;-510;-533;-5,31
Jan 07, 2021;-546;-546;-536;-574;0
Jan 06, 2021;-546;-538;-530;-565;-6,51
Jan 05, 2021;-584;-601;-576;-607;-2,5
Jan 04, 2021;-599;-570;-560;-615;4,72
Jan 01, 2021;-572;-572;-572;-572;-0,52
Dec 31, 2020;-575;-575;-568;-575;0,88
